# z, u, v, w
1.341000000000000000e+03 5.348093758113485308e+00 3.699355250748075363e+00 -2.573583500828922032e-10
1.347000000000000000e+03 5.347996271826880310e+00 3.699313195542558219e+00 -1.808050192749188217e-10
1.353000000000000000e+03 5.348029584988176488e+00 3.699413175503583062e+00 -2.202076695960458507e-10
1.359000000000000000e+03 5.348123105021919343e+00 3.699446628629990297e+00 -3.010705519123631958e-10
1.365000000000000000e+03 5.348086362607834765e+00 3.699461285175651426e+00 -2.676204323733889081e-10
1.371000000000000000e+03 5.348028145660347121e+00 3.699446121127597298e+00 -3.616964395310368943e-10
1.377000000000000000e+03 5.348000423265149905e+00 3.699436248932117532e+00 -2.812705851468704383e-10
1.383000000000000000e+03 5.347976274168070532e+00 3.699453222028270094e+00 -2.439832436379994547e-10
1.389000000000000000e+03 5.347948996213034434e+00 3.699466505667141636e+00 -2.646208022133537105e-10
1.395000000000000000e+03 5.347926061271187415e+00 3.699479514216085896e+00 -2.321588497625502552e-10
1.401000000000000000e+03 5.347899508268604052e+00 3.699497223570176629e+00 -2.404416294324762637e-10
1.407000000000000000e+03 5.347883574785964100e+00 3.699518263098224402e+00 -2.313924521062343751e-10
1.413000000000000000e+03 5.347875800723596029e+00 3.699553935940430360e+00 -2.345071981046047928e-10
1.419000000000000000e+03 5.347888555467247507e+00 3.699594831714875909e+00 -1.462773273769920355e-10
1.425000000000000000e+03 5.347900952769817806e+00 3.699656597986361373e+00 -1.200463588389629404e-10
1.431000000000000000e+03 5.347823336107120795e+00 3.699685898411121165e+00 -3.386916840717764377e-10
1.437000000000000000e+03 5.347701978830420089e+00 3.699689269664043767e+00 -3.231352928172008122e-10
1.443000000000000000e+03 5.347639550093891359e+00 3.699709202532694530e+00 -2.225955152446515535e-10
1.449000000000000000e+03 5.347705393349413860e+00 3.699725349762609916e+00 -4.549924973777801431e-10
1.455000000000000000e+03 5.347835124680271335e+00 3.699801699815759015e+00 -2.093063478414834605e-10
1.461000000000000000e+03 5.347846333124479656e+00 3.699868583541133571e+00 -5.067153379023591025e-10
1.467000000000000000e+03 5.347784770871424342e+00 3.699880046956655733e+00 -5.775072236752242875e-10
1.473000000000000000e+03 5.347769094845777005e+00 3.699913829710314683e+00 -5.764786250063639500e-10
1.479000000000000000e+03 5.347778371929562624e+00 3.699958488816555313e+00 -2.052009127064501216e-10
1.485000000000000000e+03 5.347784379027185508e+00 3.699989567786882372e+00 -4.896154373598392126e-10
1.491000000000000000e+03 5.347796132067713870e+00 3.700019694430762396e+00 -3.856655752542420870e-10
1.497000000000000000e+03 5.347808991680515156e+00 3.700051095740192419e+00 -6.944123868011747814e-10
1.503000000000000000e+03 5.347832155664582032e+00 3.700081926720272030e+00 -8.259803360691924826e-10
1.509000000000000000e+03 5.347856352709727368e+00 3.700101493847071321e+00 -8.864811171792065246e-10
1.515000000000000000e+03 5.347905493921009779e+00 3.700124277513705096e+00 -6.538560645468673597e-10
1.521000000000000000e+03 5.347957058642496264e+00 3.700138621176959131e+00 -4.847093424153378487e-10
1.527000000000000000e+03 5.347948055494582853e+00 3.700163857802318823e+00 -1.296867202023771842e-09
1.533000000000000000e+03 5.347905879004239083e+00 3.700253703929049731e+00 -1.189313204310593152e-09
1.539000000000000000e+03 5.347851619180067573e+00 3.700253844539417969e+00 -1.080478553762138741e-09
1.545000000000000000e+03 5.347905215839351634e+00 3.700162970982399546e+00 -1.278204844175456816e-09
1.551000000000000000e+03 5.348055543163678927e+00 3.700151712502825152e+00 -1.383776650912891123e-09
1.557000000000000000e+03 5.348089873356940416e+00 3.700153646802710306e+00 -1.195768046855264758e-09
1.563000000000000000e+03 5.348053315199401858e+00 3.700137036262064694e+00 -1.233579093869055500e-09
1.569000000000000000e+03 5.348068197325770434e+00 3.700124340534098888e+00 -1.106191902309941016e-09
1.575000000000000000e+03 5.348087901526008991e+00 3.700107700043141712e+00 -1.151121466680038631e-09
1.581000000000000000e+03 5.348097378435249460e+00 3.700086347928801089e+00 -9.067869643858688044e-10
1.587000000000000000e+03 5.348109049791559322e+00 3.700060691081122233e+00 -9.874852148036616028e-10
1.593000000000000000e+03 5.348119418534638569e+00 3.700034326786724836e+00 -8.560864219850182627e-10
1.599000000000000000e+03 5.348131503783824847e+00 3.700006850012759418e+00 -9.022809830840078071e-10
1.605000000000000000e+03 5.348142550904072756e+00 3.699976059206032897e+00 -7.428221030541306016e-10
1.611000000000000000e+03 5.348156686578501073e+00 3.699942083404899940e+00 -8.112013138670984129e-10
1.617000000000000000e+03 5.348171365926987164e+00 3.699889963998635345e+00 -6.544596727600340186e-10
1.623000000000000000e+03 5.348152412703762515e+00 3.699861460028406324e+00 -9.110167337010647978e-10
1.629000000000000000e+03 5.348095722081529502e+00 3.699892705023287931e+00 -7.937447675787474712e-10
1.635000000000000000e+03 5.348069643053372069e+00 3.699814036238096904e+00 -9.982891761412515978e-10
