# z, uu, uv, uw, vv, vw, ww
8.850000000000000000e+02 1.126095468407064398e-01 -2.615907957080710819e-02 -3.854023756118417268e-03 1.017874762714645054e-01 -3.006205281972125411e-03 1.367982774139912261e-01
8.910000000000000000e+02 1.143954270254463612e-01 -2.695104630111467767e-02 -3.730414184596274069e-03 1.028590845806079401e-01 -2.786032310466805394e-03 1.333850325110031154e-01
8.970000000000000000e+02 1.161078957097069903e-01 -2.764046282567701393e-02 -3.588837880063223355e-03 1.039257752849926247e-01 -2.564024249307050515e-03 1.298900296999836446e-01
9.030000000000000000e+02 1.176711979011332287e-01 -2.832170929188031205e-02 -3.461595414554919075e-03 1.049763673878851972e-01 -2.356448943325598327e-03 1.263256680185368963e-01
9.090000000000000000e+02 1.189280674210264066e-01 -2.900464497436194139e-02 -3.326504882451701648e-03 1.060327139405776997e-01 -2.142151644775736399e-03 1.227272969903705629e-01
9.150000000000000000e+02 1.199889204462428749e-01 -2.960428603323383631e-02 -3.203773725916617653e-03 1.069796218586716308e-01 -1.943344359634968351e-03 1.191184493067049127e-01
9.210000000000000000e+02 1.210120022886693736e-01 -3.009649612815148284e-02 -3.063615782000558927e-03 1.079229573519634444e-01 -1.735660683232313805e-03 1.155117894784167404e-01
9.270000000000000000e+02 1.220777784875713284e-01 -3.045390041186438884e-02 -2.940443877566410215e-03 1.086801793625730428e-01 -1.547683307393291378e-03 1.119120602129173442e-01
9.330000000000000000e+02 1.232292955431813913e-01 -3.063050338682777457e-02 -2.798331829748832832e-03 1.092938331380216566e-01 -1.346807405447355156e-03 1.083068840788156684e-01
9.390000000000000000e+02 1.241568525086559488e-01 -3.070174902819106794e-02 -2.690131608514067380e-03 1.095232819556514470e-01 -1.162930222022746929e-03 1.046964074622937502e-01
9.450000000000000000e+02 1.253791802584106330e-01 -3.084380743957448878e-02 -2.544804581152169693e-03 1.099280124917297596e-01 -9.719726523010843331e-04 1.010465842582922574e-01
9.510000000000000000e+02 1.259911999809048000e-01 -3.092802775059273757e-02 -2.442539474939182682e-03 1.102553952482229760e-01 -7.915167005528593504e-04 9.736123126618322077e-02
9.570000000000000000e+02 1.268387060112574904e-01 -3.086573583285858249e-02 -2.300963167492496488e-03 1.114718417998786237e-01 -6.152683799085990239e-04 9.357146607465817445e-02
