# z, uu, uv, uw, vv, vw, ww
6.390000000000000000e+02 1.001075471990603982e-01 -1.388545597921287279e-03 -2.275058080079545714e-02 9.945999534787067220e-02 -5.202179639209255106e-04 2.289364875343427308e-01
6.450000000000000000e+02 9.976961711321931381e-02 -1.563272973126864779e-03 -2.258455234998354988e-02 9.890970275810412327e-02 -5.352268674424092180e-04 2.268097647215607526e-01
6.510000000000000000e+02 9.935890087315735197e-02 -1.736293129467553296e-03 -2.242763657831836274e-02 9.840674124356399433e-02 -5.601002019161683632e-04 2.246500469298448877e-01
6.570000000000000000e+02 9.898942532169580089e-02 -1.888785688631700738e-03 -2.227758278125830174e-02 9.809855175630498303e-02 -5.730952350774435418e-04 2.224433796715195588e-01
6.630000000000000000e+02 9.850364815570976373e-02 -2.007745264491815184e-03 -2.212816724076665728e-02 9.774482538703836709e-02 -6.052926775893949706e-04 2.201978374055768295e-01
6.690000000000000000e+02 9.824375554437531077e-02 -2.072985733079824120e-03 -2.199262117768562355e-02 9.755550600375841042e-02 -6.184880694168251982e-04 2.178786924155835525e-01
6.750000000000000000e+02 9.778970570568065734e-02 -2.119436855648167486e-03 -2.185194153752069782e-02 9.704463534692304993e-02 -6.497616537481929518e-04 2.155388424913134149e-01
6.810000000000000000e+02 9.745225129899427741e-02 -2.127502129810136897e-03 -2.168947064868677679e-02 9.656999315316575072e-02 -6.837375160798412049e-04 2.131975154033727560e-01
6.870000000000000000e+02 9.711583205403542807e-02 -2.145477696474155926e-03 -2.155663556746341761e-02 9.604250978895943758e-02 -7.051336306641661127e-04 2.108010408261096480e-01
6.930000000000000000e+02 9.675137452744719813e-02 -2.147163924898511621e-03 -2.139277924666770081e-02 9.550870143962957026e-02 -7.327299492192965863e-04 2.083685932260641027e-01
6.990000000000000000e+02 9.640749995766909053e-02 -2.132924686538474092e-03 -2.124078398358683617e-02 9.502071697918271220e-02 -7.581968279552498682e-04 2.058791928642368096e-01
7.050000000000000000e+02 9.612836548341276155e-02 -2.057481084789725915e-03 -2.106313654767833637e-02 9.457559912455838769e-02 -7.874291189700666259e-04 2.033217955583537240e-01
7.110000000000000000e+02 9.594404561569373768e-02 -1.887507355650284687e-03 -2.088925428713485355e-02 9.417751039297252158e-02 -8.186032516684454106e-04 2.006864705576681396e-01
7.170000000000000000e+02 9.584849313161902806e-02 -1.611097054788092819e-03 -2.069775185247230836e-02 9.380414841728960951e-02 -8.530973264110622767e-04 1.979827354525861838e-01
7.230000000000000000e+02 9.579372574452189870e-02 -1.257762161585564966e-03 -2.050775325758669512e-02 9.343540226053971554e-02 -8.909192930011020041e-04 1.952258515721296828e-01
7.290000000000000000e+02 9.578355881087691204e-02 -8.795642250960455325e-04 -2.030562776653597329e-02 9.305356488233489098e-02 -9.227709599687517915e-04 1.924302802778770916e-01
7.350000000000000000e+02 9.579791707906017140e-02 -5.030669093296490525e-04 -2.009987494395152827e-02 9.261404966856912058e-02 -9.579534152376281307e-04 1.896086547395918476e-01
7.410000000000000000e+02 9.585921959240109591e-02 -1.755347056996439887e-04 -1.988290006434214122e-02 9.219223790334617197e-02 -9.809537893083817954e-04 1.867674518676472606e-01
7.470000000000000000e+02 9.584011661224138556e-02 4.822228485367661662e-05 -1.965916898579976937e-02 9.169065403884137100e-02 -1.014817725865161703e-03 1.839175087987984514e-01
7.530000000000000000e+02 9.582469864399548176e-02 1.616496432818170662e-04 -1.942133458595493925e-02 9.121043878902870827e-02 -1.033926254997190146e-03 1.810556129800315606e-01
7.590000000000000000e+02 9.563324018294439011e-02 1.948532698353185445e-04 -1.917666252270832858e-02 9.052268952812581038e-02 -1.078322501719094703e-03 1.781950772512315706e-01
7.650000000000000000e+02 9.558232874944437574e-02 1.506698197465347621e-04 -1.892078382812478754e-02 9.001462092931264425e-02 -1.092995144068022303e-03 1.753032326640348582e-01
7.710000000000000000e+02 9.516878054705395218e-02 8.735515459508958456e-05 -1.865738308443755378e-02 8.925980889581633382e-02 -1.125043801340031707e-03 1.724206424083596645e-01
7.770000000000000000e+02 9.489220146106641662e-02 2.410750538705990403e-05 -1.836969749909949171e-02 8.876897786712023564e-02 -1.166355170926690766e-03 1.695548109941415471e-01
7.830000000000000000e+02 9.454054722438705316e-02 -2.933493676330381608e-05 -1.809096289915627584e-02 8.827754831936802937e-02 -1.177261607069966321e-03 1.666527345731517173e-01
7.890000000000000000e+02 9.414965831758700943e-02 -5.621645390012654887e-05 -1.778634045830738281e-02 8.786513315343144614e-02 -1.194709751172758506e-03 1.637327798902224185e-01
7.950000000000000000e+02 9.371028062466893460e-02 -7.106877354849734283e-05 -1.748994107213126814e-02 8.748883122681998248e-02 -1.199818328476367482e-03 1.607888735927607837e-01
8.010000000000000000e+02 9.324906844737992917e-02 -8.783690950798908115e-05 -1.717619012485609165e-02 8.720639783179096050e-02 -1.206312037974461866e-03 1.578318476980521412e-01
8.070000000000000000e+02 9.270143148520715304e-02 -1.188962206701784410e-04 -1.686431249087363970e-02 8.704413311637194950e-02 -1.209962562974087460e-03 1.548704536945897936e-01
8.130000000000000000e+02 9.204283209968579238e-02 -1.524972164467731299e-04 -1.654209846606305087e-02 8.699386627480772127e-02 -1.216423544672357894e-03 1.519133954536759923e-01
8.190000000000000000e+02 9.124325828318954890e-02 -1.972189166602782086e-04 -1.621546588160703919e-02 8.705146619418588361e-02 -1.221082990624239827e-03 1.489572665557131192e-01
