# z, u, v, w
1.005000000000000000e+03 5.041654877337727214e+00 3.910126943384393261e+00 5.533099322085822894e-10
1.011000000000000000e+03 5.045528826873871608e+00 3.910718725781665128e+00 4.865757722635234616e-10
1.017000000000000000e+03 5.048966613560058825e+00 3.911564491920513031e+00 5.756369341320755564e-10
1.023000000000000000e+03 5.051974391921051577e+00 3.912713711469104627e+00 8.694066989651247602e-10
1.029000000000000000e+03 5.054588556025887414e+00 3.913937203546574928e+00 4.727595630576487671e-10
1.035000000000000000e+03 5.056657322735083504e+00 3.915527390738640534e+00 5.044612706629655169e-10
1.041000000000000000e+03 5.057731491134489943e+00 3.917929353176102580e+00 -1.698160644179826006e-10
1.047000000000000000e+03 5.058766202631739262e+00 3.920632045300974422e+00 1.250990635319312473e-09
1.053000000000000000e+03 5.061495924195333451e+00 3.924003137250939410e+00 7.867347002632328390e-10
1.059000000000000000e+03 5.070893013428639406e+00 3.925820530065244895e+00 1.020502845001851953e-09
1.065000000000000000e+03 5.093358435991265587e+00 3.919803090501039478e+00 9.196164030343600463e-10
1.071000000000000000e+03 5.138638189330517747e+00 3.901955078454772075e+00 5.450636407262931774e-10
1.077000000000000000e+03 5.213542558032820295e+00 3.868041497925951422e+00 7.298217745667860908e-10
1.083000000000000000e+03 5.291248677510256293e+00 3.830000251182580584e+00 6.355569767154012532e-10
1.089000000000000000e+03 5.352257079106614412e+00 3.799106050257311296e+00 6.649692155441364139e-10
1.095000000000000000e+03 5.390644449930416471e+00 3.779264367120701351e+00 3.030098208146540432e-10
1.101000000000000000e+03 5.407030171715506484e+00 3.769205552778684076e+00 3.824466519697339924e-10
1.107000000000000000e+03 5.408611360820782643e+00 3.766632166640276225e+00 4.292413959722598910e-10
1.113000000000000000e+03 5.403491758549292534e+00 3.769178069090750594e+00 4.951168061267658649e-10
1.119000000000000000e+03 5.397802004250505270e+00 3.773355630615629508e+00 7.195601819867230366e-10
1.125000000000000000e+03 5.393545188997330264e+00 3.776261321154564143e+00 3.900083225359977146e-10
1.131000000000000000e+03 5.390898392749338797e+00 3.773993690257474221e+00 7.236106448462685092e-10
1.137000000000000000e+03 5.393261876848102432e+00 3.766859123763622641e+00 3.216053419049881746e-10
1.143000000000000000e+03 5.404730083851438494e+00 3.757395709309826692e+00 8.481720109098424648e-10
1.149000000000000000e+03 5.423672853194137389e+00 3.749603774431997660e+00 5.319301603641632990e-10
1.155000000000000000e+03 5.441135015528161034e+00 3.744635630017263406e+00 8.230732899919075953e-10
1.161000000000000000e+03 5.451096552593297062e+00 3.741722509561380861e+00 3.079490762092824497e-10
1.167000000000000000e+03 5.454651733106168798e+00 3.740316004177816733e+00 4.979174953442291241e-10
1.173000000000000000e+03 5.455271359046231616e+00 3.739579197748106321e+00 9.198052296710774460e-11
1.179000000000000000e+03 5.454979629408625463e+00 3.739222513302818740e+00 1.172411604592946956e-10
1.185000000000000000e+03 5.454720368328238145e+00 3.739071723864420438e+00 -8.800525750930270010e-11
1.191000000000000000e+03 5.454616906807074450e+00 3.738961451988836782e+00 -3.663941528956682658e-12
1.197000000000000000e+03 5.454575785291023493e+00 3.738877016205635506e+00 -3.088257208332413319e-10
1.203000000000000000e+03 5.454561801835084545e+00 3.738793233225018220e+00 -2.397891155911711393e-10
1.209000000000000000e+03 5.454540437389281848e+00 3.738723474422133375e+00 -3.987275358982151172e-10
1.215000000000000000e+03 5.454520285771881305e+00 3.738662866455545686e+00 -3.379936217136131900e-10
1.221000000000000000e+03 5.454500090526423151e+00 3.738609674192914234e+00 -5.668893903871269018e-10
1.227000000000000000e+03 5.454490145925140254e+00 3.738565408608066409e+00 -3.587803888829181281e-10
1.233000000000000000e+03 5.454495244145133981e+00 3.738529015065681804e+00 -5.385632384710651103e-10
1.239000000000000000e+03 5.454494562395549195e+00 3.738506259864682768e+00 -3.238567158795041327e-10
1.245000000000000000e+03 5.454455473135281451e+00 3.738479541229153824e+00 -4.624293112194921131e-10
